name,impression,meaning,gender
Quinton,태생/근본,From the name QuentinThe Fifth,m
Rachael,고귀하고 선한,Innocent Lamb,f
Rachel,고귀하고 선한,Innocent Lamb,f
Rachelle,자연과 도시,Lamb,f
Rafael,하나님의 사랑,"From the name RAPHAEL, God has healed",m
Rahul,기타,Unknown,m
Raina,리더십과 성취,"Peaceful, Queen",f
Ralph,리더십과 성취,Wolf Counselor,m
Ramiro,지혜로움과 신뢰,Supreme Judge,m
Ramon,지혜로움과 신뢰,"From the name RAYMOND, Wise Protection",m
Randall,리더십과 성취,From the name RALPH,m
Randy,리더십과 성취,"From the name RANDOLPH, Wolf with a shield",m
Raphael,하나님의 사랑,GodHas Healed,m
Raquel,고귀하고 선한,From the name RACHEL,f
Rashad,희생/봉사,Rightly Guided,m
Raul,리더십과 성취,Wolf Counselor,m
Raven,자연과 도시,Blackbird,f
Ray,리더십과 성취,Wise protector,m
Raymond,리더십과 성취,Wise Protection,m
Raymundo,리더십과 성취,Counsel Protection,m
Rayna,리더십과 성취,Queen,f
Reagan,리더십과 성취,Son of the small ruler,f
Reagan,태생/근본,Son of the small ruler,m
Rebecca,하나님의 사랑,Servant of God,f
Rebekah,자연과 도시,Bound,f
Reece,자연과 도시,Stream,m
Reed,외양/색깔,A Reed or Red Haired,m
Reese,리더십과 성취,Enthusiastic,f
Reese,리더십과 성취,Enthusiastic,m
Regan,태생/근본,King's Heir,f
Regina,리더십과 성취,Queen,f
Reginald,지혜로움과 신뢰,Advisor to the King,m
Reid,외양/색깔,Red Headed,m
Reilly,자연과 도시,A Small Stream,f
Reilly,자연과 도시,A Small Stream,m
Reina,리더십과 성취,"Peaceful, Queen",f
Remington,자연과 도시,Town of the Raven,m
Rene,희망적이고 행복한,Reborn,m
Renee,태생/근본,Reborn,f
Reuben,하나님의 사랑,Behold - A Son,m
Rex,리더십과 성취,Famous Ruler,m
Rey,리더십과 성취,King,m
Reyna,고귀하고 선한,"Peaceful, Queen",f
Reynaldo,리더십과 성취,Counsel Rule,m
Rhett,자연과 도시,A Stream,m
Rhiannon,하나님의 사랑,Sacred Queen,f
Ricardo,리더십과 성취,"From the name RICHARD, Powerful, Rich Ruler",m
Richard,리더십과 성취,"Powerful, Rich Ruler",m
Ricky,리더십과 성취,"Powerful, Rich",m
Rigoberto,리더십과 성취,Rule Bright,m
Riley,자연과 도시,A Small Stream,f
River,태생/근본,From the River,m
Robert,리더십과 성취,Bright Fame,m
Roberto,리더십과 성취,Bright Fame,m
Robin,지혜로움과 신뢰,Famous Brilliance,f
Robyn,지혜로움과 신뢰,From the name ROBIN,f
Rocco,태생/근본,Born at Dawn,m
Rocio,자연과 도시,Dewdrops,f
Rocky,리더십과 성취,From the Rocks,m
Roderick,리더십과 성취,Famous Ruler,m
Rodney,자연과 도시,Land Near the Water,m
Rodolfo,리더십과 성취,Fame Wolf,m
Rodrigo,리더십과 성취,Famous Ruler,m
Rogelio,리더십과 성취,Fame Spear,m
Roger,리더십과 성취,Fame Spear,m
Rohan,자연과 도시,Sandalwood,m
Roland,리더십과 성취,Famed Throughout the Land,m
Rolando,리더십과 성취,Famed Throughout the Land,m
Roman,태생/근본,Of Rome,m
Romeo,태생/근본,Of the Romans,m
Ronald,지혜로움과 신뢰,Advisor to the King,m
Ronaldo,지혜로움과 신뢰,Advice Ruler,m
Ronan,자연과 도시,Little Seal,m
Ronnie,고귀하고 선한,From the name VERONICA,m
Rory,리더십과 성취,"Famous Ruler, Red",m
Rosa,아름다움/사랑/우정,"Rose, Pink",f
Rose,아름다움/사랑/우정,Of the Rose Blossom,f
Rosemary,아름다움/사랑/우정,Bitter Rose,f
Ross,자연과 도시,Peninsula,m
Rowan,자연과 도시,"Tree with Red Berries, Mountain Ash",f
Rowan,자연과 도시,"Tree with Red Berries, Mountain Ash",m
Roy,리더십과 성취,King,m
Ruben,하나님의 사랑,Behold - A Son,m
Rubi,기타,Unknown,f
Ruby,아름다움/사랑/우정,A Ruby Jewel,f
Rudy,리더십과 성취,From the name RUDOLPH,m
Russell,외양/색깔,Red Head,m
Ruth,아름다움/사랑/우정,"A Companion, Friendship",f
Ryan,태생/근본,Young Royalty,f
Ryan,태생/근본,Young Royalty,m
Ryann,리더십과 성취,Little leader,f
Ryder,직업,Horseman,m
Ryker,리더십과 성취,Becoming Rich,m
Rylan,자연과 도시,From The Rye Land,m
Ryland,자연과 도시,From the Rye Land,m
Rylee,자연과 도시,"From RILEY, A Small Stream",f
Rylee,자연과 도시,"From RILEY, A Small Stream",m
Rylie,리더십과 성취,Valiant,f
Sabastian,지혜로움과 신뢰,"From the name Sebastian, Venerable",m
Sabrina,아름다움/사랑/우정,Princess,f
Sadie,아름다움/사랑/우정,Princess,f
Sage,지혜로움과 신뢰,From the spice OR Prophet,f
Sage,지혜로움과 신뢰,From the spice OR Prophet,m
Sally,아름다움/사랑/우정,Form of SARAH,f
Salma,리더십과 성취,Ambitious,f
Salvador,리더십과 성취,Savior,m
Salvatore,리더십과 성취,Savior,m
Sam,하나님의 사랑,God hears,m
Samantha,하나님의 사랑,Listener of God,f
Samara,하나님의 사랑,Guarded by God,f
Samir,희망적이고 행복한,Entertaining,m
Samira,희망적이고 행복한,Entertaining,f
Sammy,하나님의 사랑,Short for SAMUEL or SAMANTHA,m
Samson,리더십과 성취,Bright as the Sun,m
Samuel,하나님의 사랑,God hears,m
Sanaa,아름다움/사랑/우정,"Work of Art, Beauty",f
Sandra,리더십과 성취,Helper of Humanity,f
Sandy,리더십과 성취,From the name ALEXANDER,f
Saniya,자연과 도시,Moment in Time,f
Santiago,태생/근본,Of St. James,m
Santino,하나님의 사랑,Little Saint,m
Santos,고귀하고 선한,Saint,m
Sara,아름다움/사랑/우정,Princess,f
Sarah,아름다움/사랑/우정,Princess,f
Sarai,아름다움/사랑/우정,My princess,f
Sasha,리더십과 성취,Pet form of ALEXANDER,f
Saul,하나님의 사랑,Borrowed,m
Savanna,자연과 도시,Open plain,f
Savannah,자연과 도시,Treeless Plain,f
Savion,기타,Combination Of Xavier And Flavian,m
Sawyer,자연과 도시,Woodcutter,m
Scarlett,외양/색깔,Red,f
Scott,태생/근본,Of Scottish Origin,m
Seamus,리더십과 성취,From the name JAMES,m
Sean,하나님의 사랑,God is Gracious,m
Sebastian,지혜로움과 신뢰,Venerable,m
Selena,자연과 도시,The Moon,f
Selina,자연과 도시,Moon,f
Serena,고귀하고 선한,"Serene, Calm",f
Serenity,기타,Peaceful Disposition,f
Sergio,희생/봉사,Attendant,m
Seth,하나님의 사랑,Appointed,m
Shakira,고귀하고 선한,Thankful,f
Shamar,기타,Combination Of Shea And Omar,m
Shane,하나님의 사랑,God is gracious,m
Shania,기타,I'm On My Way,f
Shannon,자연과 도시,Little wise owl,f
Shannon,자연과 도시,Little wise owl,m
Sharon,직업,A Flat clearing,f
Shaun,하나님의 사랑,Gods gift,m
Shawn,하나님의 사랑,"From the name JOHN, God is Gracious, Merciful",m
Shawna,하나님의 사랑,Fem. form of SHAUN,f
Shayla,희망적이고 행복한,Her Gift,f
Shaylee,아름다움/사랑/우정,Fairy princess of the field,f
Shayna,아름다움/사랑/우정,Beautiful,f
Shayne,하나님의 사랑,God is gracious,m
Shea,아름다움/사랑/우정,Fairy Place,f
Shea,아름다움/사랑/우정,Fairy Place,m
Sheila,태생/근본,From the name CECILIA,f
Shelby,희망적이고 행복한,A Sheltered Town,f
Sheldon,자연과 도시,Town in the Valley,m
Shemar,기타,Combination Of Shea And Omar,m
Sherlyn,자연과 도시,Combination Of Shirley And Lynn,f
Shirley,자연과 도시,Bright Meadow,f
Shreya,고귀하고 선한,Favorable,f
Sidney,태생/근본,Contraction of St. Denys,f
Sidney,태생/근본,Contraction of St. Denys,m
Sienna,자연과 도시,Reddish Brown,f
Sierra,자연과 도시,Mountain,f
Silas,자연과 도시,Man of the Forest,m
Silvia,태생/근본,From the Forest,f
Simeon,하나님의 사랑,He Heard,m
Simon,하나님의 사랑,To be heard,m
Simone,기타,It is Heard,f
Sincere,아름다움/사랑/우정,Honest,m
Sky,자연과 도시,Sky,f
Skye,태생/근본,From the Isle of Skye,f
Skyla,지혜로움과 신뢰,Learned One,f
Skylar,지혜로움과 신뢰,Learned One,f
Skylar,지혜로움과 신뢰,Learned One,m
Skyler,지혜로움과 신뢰,Learned One,f
Skyler,지혜로움과 신뢰,Learned One,m
Sofia,지혜로움과 신뢰,From the name SOPHIA,f
Solomon,휴식/평화,Peaceful,m
Sonia,지혜로움과 신뢰,Wisdom,f
Sonny,아름다움/사랑/우정,Our Son,m
Sophia,지혜로움과 신뢰,Wisdom,f
Sophie,자연과 도시,Wisdom - dim. of Sophia,f
Soren,리더십과 성취,God of War,m
Spencer,리더십과 성취,Administrator,m
Stacey,하나님의 사랑,Resurrection,f
Stacy,하나님의 사랑,Resurrection,f
Stanley,자연과 도시,Rocky Meadow,m
Stefan,리더십과 성취,From the name STEVEN,m
Stella,자연과 도시,Star,f
Stephan,리더십과 성취,Crowned One,m
Stephanie,태생/근본,From Stefanos - crown,f
Stephen,리더십과 성취,Crowned One,m
Stephon,리더십과 성취,"From the name Stephan, Crowned One",m
Sterling,고귀하고 선한,Valuable,m
Steve,리더십과 성취,"From the name STEVEN, Crowned One",m
Steven,리더십과 성취,Crowned One,m
Stone,자연과 도시,Stone,m
Stuart,리더십과 성취,"Keeper of the Estate, a steward",m
Sullivan,외양/색깔,Dark-eyed,m
Summer,자연과 도시,The Season,f
Susan,자연과 도시,Lily,f
Sydnee,하나님의 사랑,Contraction of St. Denys,f
Sydney,하나님의 사랑,Contraction of St. Denys,f
Sylvia,태생/근본,From the Forest,f
Tabitha,자연과 도시,A Gazelle,f
Talan,외양/색깔,Forehead,m
Talia,자연과 도시,Morning Dew,f
Talon,리더십과 성취,Claw,m
Tamara,자연과 도시,A Spice or Palm Tree,f
Tamia,자연과 도시,Chipmunk,f
Tania,고귀하고 선한,A Fairy Queen-of Tatiana,f
Tanner,태생/근본,Leather Worker,m
Tanya,리더십과 성취,Fairy Queen,f
Tara,자연과 도시,Craggy hillside,f
Tariq,자연과 도시,Morning Star,m
Taryn,자연과 도시,Irish Hillside,f
Tate,희망적이고 행복한,He who brings happiness,m
Tatiana,고귀하고 선한,Fairy Queen,f
Tatum,희망적이고 행복한,Cheerful,f
Taya,직업,From the name Taylor,f
Taylor,직업,Tailor,f
Taylor,직업,Tailor,m
Teagan,아름다움/사랑/우정,Attractive,f
Teresa,희생/봉사,Harvester,f
Terrance,고귀하고 선한,"From the name Terrence, Tender, Gracious",m
Terrell,리더십과 성취,Stubborn,m
Terrence,고귀하고 선한,"Tender, Gracious",m
Terry,고귀하고 선한,"From the name TERENCE, Tender, Gracious",m
Tess,자연과 도시,From Theresia,f
Tessa,리더십과 성취,Gatherer,f
Thaddeus,고귀하고 선한,Praise,m
Thalia,희망적이고 행복한,Joyful,f
Theodore,하나님의 사랑,Divine Gift,m
Theresa,직업,Harvester,f
Thomas,기타,A Twin,m
Tia,아름다움/사랑/우정,Princess or Aunt,f
Tiana,아름다움/사랑/우정,Princess,f
Tiara,리더십과 성취,Crowned,f
Tierra,자연과 도시,Land,f
Tiffany,하나님의 사랑,"Three, the Trinity",f
Timothy,하나님의 사랑,To Honor God,m
Tina,기타,Short for names ending in TINE,f
Titus,외양/색깔,Giant,m
Tobias,하나님의 사랑,God is great,m
Toby,하나님의 사랑,The Lord Is good,m
Todd,지혜로움과 신뢰,Fox,m
Tomas,기타,A Twin,m
Tommy,기타,A Twin,m
Toni,고귀하고 선한,Worthy of Praise,f
Tony,고귀하고 선한,Worthy of Praise,m
Tori,리더십과 성취,From TORRANCE or VICTORIA,f
Trace,리더십과 성취,Brave,m
Tracy,리더십과 성취,Brave,f
Travis,자연과 도시,Crossroads,m
Travon,기타,Combination Of Travis And Avon,m
Tre,기타,Three,m
Trent,기타,Thirty,m
Trenton,자연과 도시,Town by the Rapids,m
Trever,지혜로움과 신뢰,"From the name Trevor, Prudent",m
Trevion,기타,Combination Of Trevor And Ian,m
Trevon,기타,Combination of the names Trevor and Devon.,m
Trevor,지혜로움과 신뢰,Prudent,m
Trey,기타,Three,m
Trinity,하나님의 사랑,Holy Three,f
Trista,부정적인 의미들,Sad,f
Tristan,리더십과 성취,"Bold, melancholy.",m
Tristen,부정적인 의미들,Tumult,m
Tristian,리더십과 성취,Elaboration Of Tristan,m
Tristin,부정적인 의미들,Tumult,m
Triston,리더십과 성취,"From the name Tristan, Bold, melancholy",m
Troy,자연과 도시,Water or Footsoldier,m
Tucker,기타,Tucker of Cloth,m
Turner,직업,Lather Worker,m
Ty,기타,"Short for TYLER/TYRONE, Tile Maker/Land of Owen, Young Soldier",m
Tyler,직업,Tile Maker,f
Tyler,직업,Tile Maker,m
Tylor,휴식/평화,"From the name Tyler, Tile Maker (house builder)",m
Tyra,리더십과 성취,God of Battle,f
Tyree,자연과 도시,Island off of Scotland,m
Tyrell,리더십과 성취,Thunder Ruler,m
Tyrese,기타,Combination Of Ty And Reese,m
Tyrone,리더십과 성취,"Land of Owen, Young Soldier",m
Tyshawn,하나님의 사랑,Combination Of Ty And Shawn,m
Tyson,리더십과 성취,Explosive,m
Ulises,기타,"From the name Ulysses, Form of ODYSSEUS, Full of Wrath",m
Ulysses,기타,"Form of ODYSSEUS, Full of Wrath",m
Unique,지혜로움과 신뢰,Unlike others,f
Uriel,하나님의 사랑,Angel of Light,m
Valentin,리더십과 성취,"Strength, Health",m
Valentina,건강/장수,Health or Love,f
Valeria,리더십과 성취,"Strength, Valor",f
Valerie,부정적인 의미들,Fierce One,f
Vance,자연과 도시,Swamp,m
Vanessa,자연과 도시,Butterfly,f
Vaughn,외양/색깔,Small,m
Vernon,건강/장수,Youthful,m
Veronica,고귀하고 선한,Truth and purity,f
Vicente,리더십과 성취,Victorious,m
Victor,리더십과 성취,"Winner, Conqueror",m
Victoria,리더십과 성취,"Winner, Conqueror",f
Vincent,리더십과 성취,Victorious,m
Vincenzo,리더십과 성취,Victorious,m
Violet,자연과 도시,Purple/blue flower,f
Virginia,고귀하고 선한,"Virginal, Pure",f
Vivian,고귀하고 선한,"Full of Life, Vibrant",f
Viviana,희망적이고 행복한,Full of Life,f
Wade,자연과 도시,Cross the Water,m
Walker,자연과 도시,Forest Walker,m
Walter,리더십과 성취,Army General,m
Warren,희생/봉사,To Preserve,m
Waylon,자연과 도시,Land by the road,m
Wayne,직업,Wagon Maker,m
Wendy,외양/색깔,White Skinned,f
Wesley,자연과 도시,The West Meadow,m
Weston,태생/근본,From the West Town,m
Whitney,자연과 도시,White Island,f
Will,리더십과 성취,"From the name WILLIAM, Protector",m
William,리더십과 성취,Protector,m
Willie,리더십과 성취,Strong-willed Warrior,m
Willow,자연과 도시,From the Willow Tree,f
Wilson,태생/근본,Son of WILLIAM,m
Winston,자연과 도시,Victory Town,m
Wyatt,자연과 도시,Son of the forest guide,m
Xander,리더십과 성취,"From ALEXANDER, Protector of Mankind",m
Xavier,리더십과 성취,New house,m
Ximena,고귀하고 선한,Hearkening,f
Xiomara,리더십과 성취,Ready for Battle,f
Xzavier,리더십과 성취,"From the name xavier, New house",m
Yadira,고귀하고 선한,"Worthy, Suitable",f
Yahir,아름다움/사랑/우정,Handsome,m
Yair,하나님의 사랑,God will teach,m
Yasmin,아름다움/사랑/우정,A Flower in the Olive Family,f
Yasmine,자연과 도시,Jasmine,f
Yesenia,자연과 도시,Palm Tree,f
Yosef,하나님의 사랑,"Form of JOSEPH, God will Increase",m
Yuliana,리더십과 성취,Crown,f
Yusuf,하나님의 사랑,"Form of JOSEPH, God will Increase",m
Yvette,고귀하고 선한,Form of YVONNE,f
Zachariah,하나님의 사랑,God has remembered,m
Zachary,하나님의 사랑,God has remembered,m
Zachery,하나님의 사랑,"From the name Zachary, God has remembered",m
Zack,하나님의 사랑,"Diminutive Form Of Zachary, God Has Remembered",m
Zackary,하나님의 사랑,"From the name Zachary, God has remembered",m
Zackery,하나님의 사랑,"From the name Zachary, God has remembered",m
Zain,아름다움/사랑/우정,Handsome,m
Zaire,태생/근본,From Zaire,m
Zakary,하나님의 사랑,"From the name Zachary, God has remembered",m
Zander,리더십과 성취,Defender Of Men,m
Zane,아름다움/사랑/우정,Beloved,m
Zaria,아름다움/사랑/우정,Gift of love,f
Zavier,리더십과 성취,"From the name xavier, New house",m
Zechariah,하나님의 사랑,"From the name Zachariah, GodHas Remembered",m
Zion,하나님의 사랑,A Sign,m
Zoe,건강/장수,Life,f
Zoey,건강/장수,Life,f
Zoie,아름다움/사랑/우정,Life,f
Aad,,,m
Aaden,,,m
Aadi,,,m
Aage,,,m
Aakav,,,m
Aakesh,,,m
Aakil,,,m
Aalok,,,m
Aamin,,,m
Aandaleeb,,,m
Aaran,,,m
Aarav,,,m
Aaren,,,m
Aarin,,,m
Aaro,,,m
Aaron,,,m
Aaronandre,,,m
Aarondonald,,,m
Aaronn,,,m
Aarron,,,m
Aart,,,m
Aarush,,,m
Aaryn,,,m
Aatmadeva,,,m
Aatmik,,,m
Ab,,,m
Aban,,,m
Abayomi,,,m
Abb,,,m
Abba,,,m
Abbas,,,m
Abbie,,,m
Abbondio,,,m
Abbot,,,m
Abbott,,,m
Abdal,,,m
Abdalah,,,m
Abd-al-ati,,,m
Abd-al-aziz,,,m
Abd-al-fattah,,,m
Abd-al-hadi,,,m
Abd-al-hafiz,,,m
Abd-al-hakim,,,m
Abd-al-halim,,,m
Abd-al-hamid,,,m
Abd-al-jabir,,,m
Abd-al-jawwad,,,m
Abd-al-karim,,,m
Abdalla,,,m
Abdallah,,,m
Abd-allah,,,m
Abd-al-latif,,,m
Abd-al-majid,,,m
Abd-al-malik,,,m
Abd-al-muhsin,,,m
Abd-al-muti,,,m
Abd-al-qadir,,,m
Abd-al-rahim,,,m
Abd-al-rahman,,,m
Abd-al-rauf,,,m
Abd-al-razzaq,,,m
Abd-al-salam,,,m
Abd-al-wahhab,,,m
Abdeel,,,m
Abdel,,,m
Abdelaziz,,,m
Abdelhadi,,,m
Abdelrahim,,,m
Abdelrahman,,,m
Abdenago,,,m
Abdias,,,m
Abdiel,,,m
Abdirahman,,,m
Abdolrahem,,,m
Abdon,,,m
Abdoul,,,m
Abdu,,,m
Abdual,,,m
Abdualla,,,m
Abdul,,,m
Abdul hafeez,,,m
Abdul hakim,,,m
Abdul hamid,,,m
Abdul jabbar,,,m
Abdul karim,,,m
Abdul latif,,,m
Abdul majid,,,m
Abdul qadir,,,m
Abdul rahman,,,m
Abdul salam,,,m
Abdulah,,,m
Abdulazeez,,,m
Abdul-aziz,,,m
Abdulhadi,,,m
Abdulkareem,,,m
Abdullah,,,m
Abdullatif,,,m
Abdulwahab,,,m
Abdur rahim,,,m
Abdurrahman,,,m
Abdus,,,m
Abe,,,m
Abebe,,,m
Abednago,,,m
Abednigo,,,m
Abejundio,,,m
Abel,,,m
Abelard,,,m
Abelardo,,,m
Abele,,,m
Abell,,,m
Abelson,,,m
Abercrombie,,,m
Aberham,,,m
Abert,,,m
Abhiraja,,,m
Abhshalom,,,m
Abia,,,m
Abiah,,,m
Abiatha,,,m
Abiathar,,,m
Abiather,,,m
Abid,,,m
Abie,,,m
Abiel,,,m
Abijah,,,m
Abimael,,,m
Abimelec,,,m
Abimelech,,,m
Abiodun,,,m
Abiola,,,m
Able,,,m
Abna,,,m
Abnar,,,m
Abner,,,m
Abnor,,,m
Abraham,,,m
Abram,,,m
Abramo,,,m
Abrams,,,m
Absalom,,,m
Absalon,,,m
Absolem,,,m
Absolom,,,m
Abu,,,m
Abubakar,,,m
Abundio,,,m
Acacio,,,m
Ace,,,m
Acel,,,m
Acey,,,m
Achav,,,m
Achava,,,m
Acheron,,,m
Achille,,,m
Achilleo,,,m
Achilles,,,m
Achilleus,,,m
Achillios,,,m
Achimelech,,,m
Achiram,,,m
Achmed,,,m
Aciano,,,m
Acie,,,m
Acilino,,,m
Acquila,,,m
Acquilla,,,m
Acy,,,m
Ad,,,m
Ada,,,m
Adair,,,m
Adal,,,m
Adalard,,,m
Adalbero,,,m
Adalberto,,,m
Adalbrecht,,,m
Adalgiso,,,m
Adalhard,,,m
Adalrich,,,m
Adam,,,m
Adamo,,,m
Adams,,,m
Adamya,,,m
Adan,,,m
Add,,,m
Addam,,,m
Addams,,,m
Addie,,,m
Addison,,,m
Ade,,,m
Adelaja,,,m
Adelard,,,m
Adelbert,,,m
Adeleke,,,m
Adelio,,,m
Adelmo,,,m
Adem,,,m
Ademar,,,m
Aden,,,m
Adesina,,,m
Adham,,,m
Adhamhnan,,,m
Adheesha,,,m
Adhemar,,,m
Adhideva,,,m
Adi,,,m
Adil,,,m
Adim,,,m
Adin,,,m
Aditya,,,m
Adkin,,,m
Adlai,,,m
Adley,,,m
Admiral,,,m
Admon,,,m
Adnan,,,m
Adolf,,,m
Adolfo,,,m
Adolph,,,m
Adolphe,,,m
Adolphus,,,m
Adom,,,m
Adomnan,,,m
Adon,,,m
Adoniah,,,m
Adonias,,,m
Adonis,,,m
Adonys,,,m
Adorjan,,,m
Adrain,,,m
Adriaan,,,m
Adrian,,,m
Adriano,,,m
Adriel,,,m
Adrien,,,m
Adron,,,m
Adulio,,,m
Adya,,,m
Aedan,,,m
Aelfgar,,,m
Aelfhere,,,m
Aelfraed,,,m
Aelfwine,,,m
Aemiliano,,,m
Aemilianus,,,m
Aemilio,,,m
Aemilius,,,m
Aeneas,,,m
Aengus,,,m
Aeriel,,,m
Aeron,,,m
Aeryn,,,m
Aetios,,,m
Afanasi,,,m
Affonso,,,m
Afi,,,m
Afro,,,m
Afzal,,,m
Agafon,,,m
Agapios,,,m
Agastya,,,m
Agathias,,,m
Agatho,,,m
Agaton,,,m
Age,,,m
Agilan,,,m
Agnes,,,m
Agostino,,,m
Agoston,,,m
Agustin,,,m
Agustus,,,m
Ah,,,m
Aharnish,,,m
Aharon,,,m
Ahava,,,m
Ahijah,,,m
Ahmaad,,,m
Ahmad,,,m
Ahmaud,,,m
Ahmed,,,m
Ahmet,,,m
Ahran,,,m
Ahren,,,m
Ahron,,,m
Ahsan,,,m
Aiakos,,,m
Aidan,,,m
Aiden,,,m
Aidyn,,,m
Aigeus,,,m
Aigidios,,,m
Ailesh,,,m
Ailpein,,,m
Ailwyn,,,m
Aime,,,m
Aimery,,,m
Aimon,,,m
Aimone,,,m
Aindrea,,,m
Aineias,,,m
Ainsley,,,m
Ainslie,,,m
Aiolos,,,m
Airen,,,m
Airyn,,,m
Aislyn,,,m
Aiyetoro,,,m
Ajanabh,,,m
Ajax,,,m
Ajay,,,m
Ajaz,,,m
Ajit,,,m
Akalanka,,,m
Akamu,,,m
Akbar,,,m
Ake,,,m
Akecheta,,,m
Akeem,,,m
Akhilendra,,,m
Akhilesh,,,m
Akihiro,,,m
Akihito,,,m
Akil,,,m
Akilesh,,,m
Akim,,,m
Akinlabi,,,m
Akinori,,,m
Akintunde,,,m
Akinwunmi,,,m
Akinyele,,,m
Akio,,,m
Akira,,,m
Akiva,,,m
Akrong,,,m
Akshan,,,m
Akshay,,,m
Aktaion,,,m
Al,,,m
Ala,,,m
Alaa,,,m
Alaaddin,,,m
Alaaldin,,,m
Aladdin,,,m
Aladino,,,m
Alagan,,,m
Alain,,,m
Alaka'i,,,m
Alamar,,,m
Alan,,,m
Alano,,,m
Alanzo,,,m
Alaric,,,m
Alarico,,,m
Alasdair,,,m
Alastair,,,m
Alastor,,,m
Alavaro,,,m
Alawi,,,m
Alaxander,,,m
Alba,,,m
Alban,,,m
Albano,,,m
Albanus,,,m
Albany,,,m
Alberich,,,m
Alberick,,,m
Alberico,,,m
Albert,,,m
Albertino,,,m
Alberto,,,m
Albertus,,,m
Albie,,,m
Albin,,,m
Albino,,,m
Albinus,,,m
Albion,,,m
Albrecht,,,m
Albus,,,m
Alby,,,m
Alcee,,,m
Alcibiade,,,m
Alcibiades,,,m
Alcide,,,m
Alden,,,m
Aldin,,,m
Aldo,,,m
Aldous,,,m
Aldred,,,m
Aldrich,,,m
Aldwin,,,m
Alec,,,m
Aleck,,,m
Aleister,,,m
Alejandro,,,m
Alek,,,m
Alekanekelo,,,m
Aleko,,,m
Alekona,,,m
Aleksa,,,m
Aleksandar,,,m
Aleksander,,,m
Aleksandr,,,m
Aleksanteri,,,m
Aleksei,,,m
Aleksey,,,m
Aleksy,,,m
Alessandro,,,m
Alessio,,,m
Alex,,,m
Alexandar,,,m
Alexande,,,m
Alexander,,,m
Alexandor,,,m
Alexandre,,,m
Alexandro,,,m
Alexandros,,,m
Alexei,,,m
Alexej,,,m
Alexi,,,m
Alexios,,,m
Alexis,,,m
Alexus,,,m
Alexzander,,,m
Alf,,,m
Alferd,,,m
Alfie,,,m
Alfild,,,m
Alfio,,,m
Alfons,,,m
Alfonse,,,m
Alfonso,,,m
Alfonsus,,,m
Alfonzo,,,m
Alford,,,m
Alfred,,,m
Alfredo,,,m
Alga,,,m
Algar,,,m
Alger,,,m
Algernon,,,m
Algie,,,m
Algot,,,m
Ali,,,m
Alia,,,m
Alian,,,m
Alice,,,m
Alicio,,,m
Alick,,,m
Aliimalu,,,m
Alijah,,,m
Alisdair,,,m
Alistair,,,m
Alistaire,,,m
Alki,,,m
Alkibiades,,,m
Allain,,,m
Allan,,,m
Allen,,,m
Allex,,,m
Allexander,,,m
Allie,,,m
Allin,,,m
Allison,,,m
Allister,,,m
Allon,,,m
Allvar,,,m
Allyn,,,m
Alma,,,m
Almanzo,,,m
Almer,,,m
Almon,,,m
Almond,,,m
Almus,,,m
Aloha,,,m
Alohilani,,,m
Aloiki,,,m
Alois,,,m
Aloisio,,,m
Alojz,,,m
Alojzy,,,m
Alon,,,m
Alonso,,,m
Alonza,,,m
Alonzo,,,m
Aloys,,,m
Aloysius,,,m
Alpha,,,m
Alpheaus,,,m
Alpheus,,,m
Alphoeus,,,m
Alphons,,,m
Alphonse,,,m
Alphonso,,,m
Alphonsus,,,m
Alpin,,,m
Alpine,,,m
Alston,,,m
Alta,,,m
Altair,,,m
Alto,,,m
Alton,,,m
Alun,,,m
Alva,,,m
Alvah,,,m
Alvan,,,m
Alvar,,,m
Alvaro,,,m
Alven,,,m
Alver,,,m
Alvia,,,m
Alvie,,,m
Alvin,,,m
Alvis,,,m
Alvise,,,m
Alvy,,,m
Alvyn,,,m
Alwin,,,m
Alwine,,,m
Alwyn,,,m
Alyksandr,,,m
Alyn,,,m
Alyosha,,,m
Alyxander,,,m
Am,,,m
Amadeo,,,m
Amadeus,,,m
Amadeusz,,,m
Amado,,,m
Amal,,,m
Aman,,,m
Amanda,,,m
Amandus,,,m
Amani,,,m
Amaram,,,m
Amare,,,m
Amari,,,m
Amariah,,,m
Amarion,,,m
Amartya,,,m
Amasa,,,m
Amato,,,m
Amazu,,,m
Ambe,,,m
Ambers,,,m
Ambroggio,,,m
Ambrogiotto,,,m
Ambroise,,,m
Ambrose,,,m
Ambrosio,,,m
Ambrosios,,,m
Ambrossij,,,m
Ambroz,,,m
Ambrus,,,m
Amedeo,,,m
Ameen,,,m
Ameer,,,m
Ameir,,,m
Amelio,,,m
Amen,,,m
Amenra,,,m
Amenyo,,,m
Amer,,,m
Americo,,,m
Amerigo,,,m
Ames,,,m
Amgad,,,m
Amias,,,m
Amichai,,,m
Amid,,,m
Amil,,,m
Amilcare,,,m
Amin,,,m
Amintore,,,m
Amir,,,m
Amiram,,,m
Amiri,,,m
Amit,,,m
Amitabh,,,m
Amjad,,,m
Amjed,,,m
Ammar,,,m
Ammer,,,m
Ammiel,,,m
Ammon,,,m
Amon,,,m
Amor,,,m
Amorous,,,m
Amos,,,m
Amr,,,m
Amrit,,,m
Amsel,,,m
Amshel,,,m
Amul,,,m
Amy,,,m
Amyas,,,m
Amyn,,,m
Amzi,,,m
An,,,m
